,Gene,ENSEMBL_ID,Brum.HAP1.GTS,Brum.KBM7.GTS,Saba15.KBM7.cs,Saba15.KBM7.fdr,Saba15.K562.cs,Saba15.K562.fdr,Saba15.Jiyoye.cs,Saba15.Jiyoye.fdr,Saba15.Raji.cs,Saba15.Raji.fdr,Saba17.EOL1,Saba17.HEL,Saba17.MOLM13,Saba17.MonoMac1,Saba17.NB4.rep1,Saba17.NB4.rep2,Saba17.OCI.AML2,Saba17.OCI.AML3,Saba17.OCI.AML5,Saba17.P31.FUJ,Saba17.PL21,Saba17.SKM1,Saba17.TF1,Saba17.THP1,Weis16.csa.MW.pvalue,Weis16.csa.avg,Weis16.csi.MW.pvalue,Weis16.csi.avg,inactivating.mutation,deletion,down_reg_hema_cancer,CGC_tier,Tumour.Types.Somatic.,Tumour.Types.Germline.,Role.in.Cancer,Mutation.Types,GeneType,TSgene
647,GET4,ENSG00000239857,0.37,0.165413534,-1.403,0.002678431,-0.299,0.968665281,-0.004,0.862133124,0.347,0.419386396,-1.1,-0.277,-2.895,-0.182,-0.674,-1.002,-2.753,-0.933,-1.583,-3.047,-1.631,-2.401,-0.914,-3.603,0.590290668,0.024497813,0.024867241,-0.032416568,,,,0,NA,NA,NA,NA,NA,0
648,GIMAP4,ENSG00000133574,0.5,0.565789474,0.347,0.15468436,0.405,0.281289468,0.484,0.391070642,0.455,0.461914998,0.585,0.289,0.037,0.33,0.14,0.232,-0.007,-0.028,0.076,0.078,0.088,-0.007,0.556,-0.269,0.753740993,0.006987004,0.789763814,0.003312711,,,,0,NA,NA,NA,NA,NA,0
649,GIMAP5,ENSG00000196329,0,0.498871332,-0.112,0.566902834,-0.508,0.625179256,0.244,0.227638687,-0.043,0.84446055,-0.247,0.526,0.339,-0.016,0.243,-0.348,0.19,0.06,-0.182,-0.157,-0.071,-0.041,-0.073,-0.622,0.046631891,0.009413381,0.374490495,-0.006610939,,,,0,NA,NA,NA,NA,NA,0
650,GIMAP6,ENSG00000133561,0.25,0.484110169,0.444,0.022100437,0.233,0.41230828,0.31,0.19184806,0.175,0.634756577,-0.121,0.327,-0.004,0.309,-0.556,-0.002,0.373,-0.142,0.017,-0.105,-0.347,-0.129,0.183,-0.094,0.464402479,2.26E-06,0.739121575,0.005285333,,,,0,NA,NA,NA,NA,NA,0
651,GIMAP7,ENSG00000179144,0.5,0.5,0.09,0.674565138,-0.161,0.771874929,-0.021,0.146144742,0.224,0.24908986,-0.137,0.246,0.206,0.006,-0.028,-0.023,0.012,-0.123,0.257,0.1,0.135,-0.003,0.48,-0.042,0.5805242,-0.005923936,0.615718262,-0.00904774,,,,0,NA,NA,NA,NA,NA,0
652,GNG11,ENSG00000127920,0.5,0.462765957,0.193,0.525751455,0.342,0.320509327,0.392,0.627344106,0.524,0.29758073,0.249,0.45,0.551,0.394,0.576,0.222,0.379,0.142,0.457,0.495,0.413,0.223,0.672,0.134,0.232725843,-0.020337646,0.844825308,0.013320827,,,,0,NA,NA,NA,NA,NA,0
653,GPNMB,ENSG00000136235,0.52,0.498817967,-0.289,0.871923185,-0.967,0.524398658,-0.105,0.756817988,-0.536,0.611228857,-0.154,-0.049,-0.565,-0.065,-0.402,-0.197,-0.304,0.263,-0.38,-0.07,-0.585,0.152,-0.246,-0.04,0.122091184,0.004734965,0.255256616,-0.017118794,,,,0,NA,NA,NA,NA,NA,0
654,GPR146,,NA,NA,-0.009,0.943014951,-0.679,0.913884812,-0.684,0.913047247,-0.626,0.437712548,-0.443,0.084,-1.217,-0.07,-0.542,-0.814,-0.044,0.122,-1.134,0.258,-0.546,-0.489,-0.169,-0.264,0.071545924,-0.024150194,0.374960598,-0.016888589,,,,0,NA,NA,NA,NA,NA,0
655,GPR85,ENSG00000164604,0.48,0.492261393,0.177,0.103407632,-0.183,0.904402034,0.299,0.329455945,0.412,0.064427385,0.168,0.075,-0.018,0.061,0.241,-0.068,0.087,-0.201,0.057,-0.336,0.1,0.236,0.019,0.254,0.32522198,-0.00582959,0.846323993,-0.003913913,,,,0,NA,NA,NA,NA,NA,0
656,GSTK1,ENSG00000197448,0.49,0.471578947,0.377,0.344153468,0.472,0.251216985,0.382,0.405179781,0.446,0.119952539,0.13,0.222,-0.124,0.242,0.16,0.138,0.12,-0.001,0.401,0.06,-0.409,0.088,0.08,0.481,0.868783576,-0.005206332,0.232638615,-0.010695647,,,,0,NA,NA,NA,NA,NA,0
657,GTF2I,ENSG00000077809,0.48,0.454693082,-0.277,0.676122566,-0.598,0.85774735,-0.484,0.975845908,0.239,0.649180129,-0.133,-0.213,-0.597,-0.833,-0.466,-0.729,-0.659,-0.74,-0.946,-0.383,-0.363,-0.22,-0.105,-0.698,0.52360323,-0.005247744,0.046388653,0.034746436,,,,0,NA,NA,NA,NA,NA,0
658,GTF2IRD2,ENSG00000196275,0.47,0.490566038,-0.296,0.886963017,-0.22,0.839689404,-0.285,0.310494045,-0.057,0.956314818,-0.771,-0.348,-0.366,-0.142,-0.457,-0.4,-0.459,-0.296,-0.243,-0.447,-1.066,-0.15,-0.007,-0.56,0.662553679,0.002819825,0.713117284,-0.03548208,,,,0,NA,NA,NA,NA,NA,0
659,GTPBP10,ENSG00000105793,0.31,0.376912378,-0.761,0.100578982,-0.192,0.965175109,-0.663,0.425410687,0.121,0.412450039,-0.825,-1.078,0.15,-0.843,0.155,-0.227,-0.703,-0.835,-0.366,-0.682,-0.452,0.306,-0.417,-1.136,0.115644592,0.00517455,0.000253095,-0.054760971,,,,0,NA,NA,NA,NA,NA,0
660,H2AFV,ENSG00000105968,0.44,0.474895397,-0.115,0.647159492,0.183,0.269210996,0.106,0.876094695,-0.013,0.817739029,-0.401,-0.306,0.1,-0.524,-0.152,0.044,-0.085,-0.029,-0.062,-0.142,-0.95,-0.256,0.042,-0.342,0.071776859,-0.032538674,0.243292506,0.012941588,,,,0,NA,NA,NA,NA,NA,0
661,HBP1,ENSG00000105856,0.5,0.4890625,-0.115,0.977019012,-0.024,0.59539474,0.407,0.009045546,-0.115,0.911811536,0.222,-0.061,0.291,0.01,0.237,0.052,0.089,0.001,0.19,-0.219,0.01,0.261,0.085,-0.029,0.436086989,-0.007011776,0.03487678,-0.020045413,,,,0,NA,NA,NA,NA,protein-coding,1
662,HDAC9,ENSG00000048052,0.43,0.531147541,0.062,0.559946842,0.119,0.610050214,0.211,0.541041639,-0.373,0.906972667,-0.356,0.179,0.638,-0.209,0.134,-0.174,0.173,-0.369,-0.146,0.086,-0.203,-0.259,0.242,0.109,0.506758462,-0.011580441,0.227437608,0.015206125,,,,0,NA,NA,NA,NA,NA,0
663,HERPUD2,ENSG00000122557,0.48,0.505922166,-0.15,0.765879275,0.185,0.053755234,0.109,0.74947856,0.263,0.521067064,-0.362,0.065,0.269,-0.085,0.263,0.098,0.284,0.193,0.221,0.304,-0.021,0.212,0.255,0.111,0.913503,-0.012200009,0.900459004,0.003481259,,,,0,NA,NA,NA,NA,NA,0
664,HIBADH,ENSG00000106049,0.5,0.514724712,0.025,0.786893246,0.042,0.436251308,0.048,0.952031577,0.016,0.459260925,0.016,0.042,-0.019,-0.021,-0.304,-0.252,0.328,0.166,0.118,0.231,0.019,0.008,-0.63,0.295,0.189386762,0.012274129,0.21393911,0.025701811,,,,0,NA,NA,NA,NA,NA,0
665,HILPDA,ENSG00000135245,0.51,0.512304251,0.093,0.503008326,-0.091,0.622233036,0.174,0.589060296,0.051,0.374176359,-0.078,0.248,-0.066,-0.176,-0.03,0.036,0.168,-0.063,0.327,0.132,-0.105,-0.05,-0.383,-0.052,0.118245588,-0.016840826,0.731440676,-0.011355715,,,,0,NA,NA,NA,NA,NA,0
666,HIPK2,ENSG00000064393,0.49,0.472938144,NA,NA,NA,NA,NA,NA,NA,NA,-0.466,-0.475,-1.015,-0.495,-0.39,-0.435,-0.618,0.268,-0.233,-0.892,-0.152,-0.424,-1.296,-0.814,0.252455121,0.019272909,0.260401547,0.004955016,,,,0,NA,NA,NA,NA,protein-coding,1
667,HOXA7,ENSG00000122592,0.54,0.536335722,-0.347,0.381469434,-0.101,0.49571209,0.083,0.947524819,-0.462,0.788472861,-0.335,0.095,-0.441,-1.121,-0.492,-0.394,-0.565,-0.566,-0.388,-0.25,-0.679,-0.051,-0.74,-0.281,0.340608553,-0.004867134,0.389874755,0.01278487,,,,0,NA,NA,NA,NA,NA,0
668,HSPB1,ENSG00000106211,0.53,0.491525424,-0.143,0.998257253,-0.313,0.878239092,0.041,0.759995682,-0.317,0.885193768,0.142,0.449,-0.005,-0.323,0.247,-0.005,0.016,-0.266,0.009,-0.428,-0.515,0.334,0.045,0.365,0.559711183,0.008609863,0.185677073,0.025212439,,,,0,NA,NA,NA,NA,NA,0
669,HUS1,ENSG00000136273,0.06,0.041237113,-2.206,0.002928266,-2.614,0.016071315,-1.192,0.019287796,-0.533,0.374434099,-2.328,-3.655,-3.143,-1.928,-2.217,-2.331,-2.629,-1.831,-2.884,-2.554,-1.169,-1.849,-3.18,-2.631,0.41783238,-0.002263275,5.75E-08,-0.134055086,,,,0,NA,NA,NA,NA,NA,0
670,ICA1,ENSG00000003147,0.53,0.510416667,0.074,0.808770214,-0.111,0.879666415,0.08,0.905511403,0.204,0.497199592,-0.491,-0.017,0.07,0.125,0.265,0.289,0.108,0.193,0.229,0.396,-0.676,0.206,-0.076,-0.158,0.39545513,-0.023051979,0.006817406,-0.077161265,,,,0,NA,NA,NA,NA,NA,0
671,IFRD1,ENSG00000006652,0.5,0.488471392,0.318,0.19436886,-0.135,0.864021186,0.031,0.587888146,0.152,0.827624721,0.114,-0.11,0.158,-0.347,0.039,-0.035,-0.046,0.239,0.265,-0.475,-0.215,0.144,0.027,0.092,0.008318132,0.022208241,0.748451233,-0.02714436,,,,0,NA,NA,NA,NA,NA,0
672,IGFBP1,ENSG00000146678,0.5,NA,-0.096,0.787149966,0.055,0.356782908,0.045,0.877874015,0.058,0.592429102,-0.291,0.105,0.252,-0.078,-0.35,-0.234,-0.108,-0.419,-0.114,0.058,-0.401,0.04,0.152,0.018,0.378561737,0.004641174,0.219464207,-0.055471023,,,,0,NA,NA,NA,NA,NA,0
673,IMMP2L,,NA,NA,0.124,0.569680076,-0.078,0.636439484,0.295,0.416622541,0.416,0.216908189,-0.068,0.049,-0.416,-0.027,-0.172,-0.161,-0.442,-0.306,0.6,0.2,0.22,-0.079,0.182,0.163,0.635559463,-0.010391327,0.441903976,0.000998558,,,,0,NA,NA,NA,NA,NA,0
674,ING3,ENSG00000071243,0.4,0.451957295,0.313,0.117253918,-0.362,0.723967167,-0.148,0.748959334,0.739,0.003719381,-0.425,-0.639,0.087,0.065,-0.649,-1.099,-0.531,-0.118,-0.685,-0.22,-0.884,-1.586,-2.317,-1.407,0.461365157,0.015678001,0.425824407,0.004966716,,,,0,NA,NA,NA,NA,protein-coding,1
675,INHBA,ENSG00000122641,0.37,0.454545455,-0.231,0.148491535,-0.099,0.753718112,0.052,0.842187808,-0.222,0.874092791,0.044,0.18,-0.08,0.371,0.086,-1.075,0.017,-0.319,-0.159,-0.235,-0.172,-0.475,-0.128,-0.02,0.925837714,-0.007581275,0.07949618,0.001306298,,,,0,NA,NA,NA,NA,NA,0
676,INMT,ENSG00000241644,0.33,0,0.015,0.73391717,-0.262,0.735105896,0.309,0.23638417,-0.148,0.743567017,0.024,-0.17,0.022,0.052,-0.012,-0.219,0.07,-0.063,-0.107,0.182,0.005,-0.144,0.116,-0.052,0.91466581,-0.004608217,0.720732636,0.008018262,,,,0,NA,NA,NA,NA,NA,0
677,INSIG1,ENSG00000186480,0.31,0.326923077,-0.019,0.164159564,-0.754,0.80396486,-0.044,0.90234059,-0.204,0.895685398,-0.868,0.322,0.246,-0.866,0.995,0.678,-0.429,-0.865,-0.312,-0.831,-0.432,-0.296,-1.618,-0.596,0.801053869,-0.00808851,0.001113617,-0.077014344,,,,0,NA,NA,NA,NA,NA,0
678,IQUB,ENSG00000164675,0.51,0.518518519,0.131,0.282247235,-0.021,0.799160033,-0.052,0.995593043,0.311,0.602756723,0.202,0.322,-0.292,-0.03,0.237,-0.059,0.278,-0.05,0.309,0.218,0.286,-0.2,-0.314,-0.239,0.310749488,-0.016091442,0.217719926,0.02565853,,,,0,NA,NA,NA,NA,NA,0
679,ITGB8,ENSG00000105855,0.49,0.531380753,0.231,0.176141025,0.298,0.359816677,0.086,0.845842494,0.474,0.08648542,-0.089,-0.213,-0.346,-0.304,0,-0.685,0.016,-0.404,0.354,0.209,0.018,0.06,-0.598,-0.291,0.817184252,0.00269665,0.968987131,0.014577915,,,,0,NA,NA,NA,NA,NA,0
680,KCND2,ENSG00000184408,0.5,0.421428571,0.062,0.738049166,-0.076,0.617759219,0.434,0.248946023,0.176,0.198556233,-0.234,0.07,-0.527,0.311,-0.016,-0.244,-0.052,-0.13,-0.434,-0.454,-0.542,-0.05,-1.407,-0.219,0.774884503,-0.001930173,0.284569964,-0.010941618,,,,0,NA,NA,NA,NA,NA,0
681,KCNH2,ENSG00000055118,0.45,0.493482309,0.062,0.701978739,-0.605,0.531932674,0.345,0.905073549,-0.211,0.989598889,0.044,0.046,-0.711,-0.235,-0.322,0.038,-0.146,-0.892,-0.595,-0.214,-0.57,-0.253,-0.226,-0.768,0.003032409,0.03667366,0.046773553,-0.007533131,,,,0,NA,NA,NA,NA,NA,0
682,KCP,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.165,-0.271,-0.801,-0.625,0.116,-0.392,-0.251,-0.767,-0.903,-0.395,-0.197,-0.508,-1.069,-0.239,0.109144169,-0.024760478,0.601249225,-0.00756799,,,,0,NA,NA,NA,NA,NA,0
683,KIAA1324L,ENSG00000164659,0.5,0.581395349,0.249,0.289966291,-0.029,0.891370429,0.28,0.701819449,0.366,0.297955861,0.091,0.033,-0.079,0.122,0.285,-0.258,0.317,-0.016,-0.041,0.41,0.393,0.191,0.188,0.149,0.57800681,0.007999444,0.659379206,-1.55E-05,,,,0,NA,NA,NA,NA,NA,0
684,KLHDC10,ENSG00000128607,0.51,0.518229167,0.025,0.308476364,-0.174,0.842139075,0.19,0.504574074,0.34,0.556700042,-0.214,-0.083,-0.161,-0.021,0.415,-0.386,0.053,-0.2,-0.036,-0.525,-0.251,-0.019,-0.976,-0.11,0.227940941,-0.005202789,0.879975213,-0.007220148,,,,0,NA,NA,NA,NA,NA,0
685,KLRG2,ENSG00000188883,0.51,0.513513514,0.154,0.495806123,0.054,0.762365246,0.474,0.091337169,0.093,0.884035356,-0.132,0.227,0.03,0.182,0.099,-0.147,0.221,0.383,0.34,0.011,-0.236,0.165,-0.059,0.321,0.026855369,0.023379271,0.040526942,0.014623195,,,,0,NA,NA,NA,NA,NA,0
686,KRBA1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.719,-0.045,-1.175,-0.586,-0.57,-0.145,-0.762,-0.782,-1.184,-0.661,-0.572,-0.543,-1.399,-0.958,0.174515276,-0.009279534,0.587154204,-0.003481885,,,,0,NA,NA,NA,NA,NA,0
687,LAT2,ENSG00000086730,0.5,0.494331631,0.075,0.764734599,0.043,0.339765301,0.11,0.627344106,0.212,0.653602737,-0.23,-0.373,-0.826,0.006,-0.063,-0.231,0.208,-0.43,-0.159,-0.054,0.321,0.098,-0.293,0.049,0.132245893,-0.016068808,0.590951683,0.00611473,,,,0,NA,NA,NA,NA,protein-coding,1
688,LFNG,ENSG00000106003,0.51,0.473265074,0.285,0.263530035,-0.349,0.979794714,0.059,0.960847004,-0.104,0.549466068,-0.085,-0.061,-0.117,-0.265,-0.371,-0.112,-0.24,-0.339,-0.092,0.166,-0.437,-0.073,-0.216,-0.139,0.178077904,-0.01344294,0.258678656,-0.017601504,,,,0,NA,NA,NA,NA,NA,0
689,LHFPL3,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.547,-0.132,-0.336,-0.435,-0.229,0.13,-0.339,-0.687,0.083,-0.34,-0.087,-0.244,-0.079,-0.68,0.460830314,-0.0177567,0.609585901,-0.004735823,,,,0,NA,NA,NA,NA,NA,0
690,LRRC4,ENSG00000128594,NA,NA,0.205,0.177275639,-0.698,0.52008025,-0.103,0.82334088,0.054,0.954914715,0.261,-0.242,-0.358,0.054,-0.347,-0.244,-0.286,-0.117,-0.744,-0.262,-0.127,-0.559,-0.323,-0.246,0.520363641,-0.017523848,0.365936621,0.015614077,,,,0,NA,NA,NA,NA,protein-coding,1
691,LRRC61,ENSG00000127399,0.43,0.513416816,0.141,0.242995473,-0.558,0.606528298,0.173,0.590158191,-0.028,0.907240392,-0.474,-0.036,-0.495,-0.232,0.01,-0.005,-0.373,-0.456,-0.305,-0.124,-0.409,-0.348,-0.043,-0.173,0.532805821,0.022373933,0.040812954,-0.022213723,,,,0,NA,NA,NA,NA,NA,0
692,LRWD1,ENSG00000161036,0.53,0.578947368,-0.895,0.028483524,-0.943,0.376404671,-0.035,0.939713607,-1.104,0.054640314,-0.793,-0.718,-1.474,-0.127,-0.53,-0.485,-1.053,-0.885,-1.299,-1.392,-0.969,-1.07,-1.149,-1.398,0.38062887,0.006972645,0.466663062,-0.00888686,,,,0,NA,NA,NA,NA,NA,0
693,LSM5,ENSG00000106355,0.06,0.005434783,-0.698,0.199181367,-0.55,0.624948696,-1.044,0.35759544,-0.875,0.704447696,-1.18,-2.134,-1.633,-0.833,-0.445,-0.889,-1.283,-0.688,-0.714,-1.236,-1.035,-1.087,-1.066,-1.525,0.254893837,-0.006142953,7.90E-05,-0.087832683,,,,0,NA,NA,NA,NA,NA,0
694,MACC1,ENSG00000183742,0.47,0.493503185,0.11,0.403341403,0.183,0.254299072,0.36,0.378990258,0.32,0.06810247,0.482,0.008,-0.084,-0.078,-0.327,-0.175,0.366,0.11,0.278,0.447,-0.177,0.119,0.22,0.178,0.275767775,-0.007596302,0.743522431,-0.001946884,,,,2,"liver, CRC",,oncogene,Mis,NA,0
695,MAFK,ENSG00000198517,0.52,0.58372093,-0.263,0.982836931,-0.421,0.440521187,-0.299,0.937174899,-0.725,0.579345807,-0.612,-0.298,-0.376,-0.413,-0.244,-0.267,-0.316,-0.349,-0.322,-0.28,-0.903,-0.011,-0.505,-0.618,0.053920415,-0.006627517,0.632738211,-0.022220877,,,,0,NA,NA,NA,NA,NA,0
696,MALSU1,ENSG00000156928,0.26,0.320855615,-1.102,0.048525253,-0.499,0.292045711,-0.774,0.18541735,-0.537,0.067295313,-1.28,-1.345,0.31,-1.552,0.017,-0.525,-1.144,-1.176,-0.65,-1.371,-0.616,-0.177,-1.486,-0.892,0.933060823,0.005443783,0.000625515,-0.144310386,,,,0,NA,NA,NA,NA,NA,0
697,MBLAC1,ENSG00000214309,0.45,0.448071217,-0.339,0.287615988,-0.572,0.429624051,0.133,0.726256351,-0.075,0.53965672,-0.574,-0.494,-0.569,-0.018,-0.358,-0.949,-0.488,-0.399,-0.746,-0.899,-1.211,-0.288,-0.034,-0.283,0.708882274,-0.021022781,0.338362774,-0.02496004,,,,0,NA,NA,NA,NA,NA,0
698,MDH2,ENSG00000146701,0.48,0.474342929,0.138,0.54824055,-0.214,0.620552305,-0.345,0.397032455,-0.565,0.118192938,-1.499,-0.356,0.104,-0.387,-0.248,-0.14,-0.437,-2.245,-0.457,-0.301,-0.883,-0.369,-0.104,-0.765,0.667452337,0.00266901,0.601654696,0.012017245,,,,0,NA,NA,NA,NA,NA,0
699,MEPCE,ENSG00000146834,0.26,0.52393617,-1.705,0.009066211,-1.923,0.001668223,-2.519,0.000857195,-2.181,0.000805635,-1.583,-3.184,-2.479,-1.287,-1.401,-1.541,-2.181,-1.737,-2,-1.375,-1.413,-1.579,-2.852,-2.478,0.12480476,-0.02203696,0.604902894,-0.007705596,,,,0,NA,NA,NA,NA,NA,0
700,METTL2B,ENSG00000165055,0.49,0.528619529,-0.375,0.961483258,-0.797,0.325060654,-0.022,0.865182939,0.014,0.800737078,0.036,-0.562,-0.829,-0.234,-0.43,-0.293,-0.224,-0.611,-0.294,-0.222,-0.428,-0.342,-0.786,-0.034,0.120261254,-0.011601506,0.043073062,0.022507694,,,,0,NA,NA,NA,NA,NA,0
701,MPLKIP,ENSG00000168303,0.54,0.482142857,-0.39,0.493183117,-0.605,0.572232111,0.058,0.820173843,-0.507,0.290161799,-0.316,0.094,-0.353,-0.127,-0.288,-0.438,0.078,-0.855,-0.396,0.099,-0.698,0.103,-0.363,-0.485,0.438508994,-0.015225321,0.499881595,-0.003593547,,,,0,NA,NA,NA,NA,NA,0
702,MRPL32,ENSG00000106591,0.17,0.216814159,-0.784,0.185605027,-0.522,0.601749039,-1.213,0.000349811,-0.675,0.138236927,-0.903,-1.066,-0.99,-1.027,-0.55,-0.492,-1.108,-1.358,-0.993,-1.152,-0.726,-0.742,-1.087,-1.061,0.240623131,-0.00653739,3.72E-05,-0.175111393,,,,0,NA,NA,NA,NA,NA,0
703,MRPS24,ENSG00000062582,0.33,0.253623188,-2.213,0.025477302,-1.439,0.042314115,-2.083,2.44E-05,-1.092,0.01610605,-2.373,-2.679,-1.319,-2.199,-1.259,-1.837,-2.13,-1.214,-1.625,-1.833,-1.815,-1.896,-1.698,-2.303,0.234682708,-0.032672366,0.00077364,-0.152872325,,,,0,NA,NA,NA,NA,NA,0
704,MRPS33,ENSG00000090263,0.31,0.234113712,-0.489,0.361005317,-0.728,0.785331512,-0.484,0.490888787,-0.254,0.485222055,-0.223,-1.317,-0.728,-0.952,-0.331,-0.369,-0.769,-0.936,-0.486,-1.01,-0.346,-0.354,-0.412,-1.264,0.429894508,-0.019608428,8.34E-08,-0.300934412,,,,0,NA,NA,NA,NA,NA,0
705,MYL10,ENSG00000106436,0.49,0.444444444,-0.044,0.499179018,0.013,0.72984256,0.158,0.6597935,0.148,0.605053729,-0.099,0.171,0.241,0.034,0.259,0.345,0.024,-0.205,-0.01,-0.229,0.129,0.246,0.236,-0.189,0.255016202,-0.004765444,0.238618979,-0.012525176,,,,0,NA,NA,NA,NA,NA,0
706,MYL7,ENSG00000106631,0.17,NA,-0.171,0.944765139,-0.574,0.395013027,-0.015,0.952265507,-0.259,0.670542296,-0.127,-0.026,-0.054,-0.007,-0.326,-0.281,-0.11,-0.028,-0.141,-0.321,-0.498,-0.284,-0.258,0.028,0.586249942,0.000949067,0.646567975,0.007363629,,,,0,NA,NA,NA,NA,NA,0
707,NAA38,ENSG00000128534,0.04,0.009009009,-0.981,0.217277792,-0.576,0.776781608,-1.355,0.011368346,-0.82,0.195032487,-1.388,-2.361,-2.254,-1.545,-0.925,-0.451,-1.382,-0.958,-0.818,-0.899,-1.292,-1.02,-2.005,-2.371,0.216118516,-0.007543657,1.48E-05,-0.421223687,,,,0,NA,NA,NA,NA,NA,0
708,NAT16,ENSG00000167011,0.55,0.506849315,-0.014,0.710554565,-0.353,0.847995512,0.319,0.364866285,0.198,0.616529744,-0.142,0.211,-0.692,-0.265,-0.03,0.375,0.011,-0.217,-0.111,-0.112,-1.037,0.125,-0.055,-0.036,0.082558096,-0.023254214,0.164832139,-0.006402926,,,,0,NA,NA,NA,NA,NA,0
709,NCAPG2,ENSG00000146918,0.35,0.428051002,-0.64,0.18343244,-1.379,0.014590205,-0.979,0.021717671,-1.284,0.080428679,-1.034,-2.177,-3.446,-1.346,-0.475,-0.445,-1.968,-1.46,-1.677,-2.281,-1.649,-2.022,-3.007,-2.215,0.353993517,0.010643443,0.054516273,-0.020310518,,,,0,NA,NA,NA,NA,NA,0
710,NCF1,ENSG00000158517,0.47,0.531914894,-0.268,0.730822087,-0.138,0.999690568,-0.36,0.347221784,-0.183,0.629885718,-0.465,0.148,-0.586,0.094,-0.328,-0.941,-0.356,-0.651,-0.324,-0.338,-0.437,-0.275,-0.105,-0.461,0.361348462,0.013680038,0.840399325,0.001904192,,,,0,NA,NA,NA,NA,NA,0
711,NDUFA4,ENSG00000189043,0.44,0.510028653,-0.52,0.498959616,-0.219,0.40474791,-0.622,0.318844997,-0.541,0.318833522,-0.807,-0.472,0.057,-0.043,-0.299,0.031,-0.709,0.588,-0.823,-0.896,0.063,-0.064,-0.399,-0.245,0.102936151,0.006641235,0.827215768,0.003236804,,,,0,NA,NA,NA,NA,NA,0
712,NDUFA5,ENSG00000128609,0.42,0.476987448,-0.674,0.342621298,-0.861,0.919695752,-0.409,0.470171531,-0.179,0.884664337,-0.693,-0.996,0.285,-0.736,-0.014,-0.059,-0.504,-0.678,-0.588,-0.672,0.182,0.044,-0.594,-0.361,0.471412319,-0.003112624,0.003368769,-0.055385003,,,,0,NA,NA,NA,NA,NA,0
713,NDUFB2,ENSG00000090266,0.43,0.407035176,-0.554,0.482479454,-0.807,0.545399891,-0.505,0.471818066,-0.699,0.155170358,-1.041,-0.559,0.092,-0.434,-0.751,-0.389,-0.684,-0.92,-0.895,-0.496,-0.419,0.25,-1.487,-1.208,0.446171151,0.007729325,4.80E-05,-0.134253692,,,,0,NA,NA,NA,NA,NA,0
714,NOBOX,ENSG00000106410,0.5,0.25,NA,NA,NA,NA,NA,NA,NA,NA,-0.38,0.161,-0.029,0.265,-0.432,-0.173,-0.203,-0.192,-0.746,-0.161,-0.266,-0.101,-0.193,0.239,0.060230624,-0.016958742,0.291574146,0.007092222,,,,0,NA,NA,NA,NA,NA,0
715,NOM1,ENSG00000146909,0.08,0,-1.886,0.000846358,-1.876,0.085819936,-1.326,0.077208087,-1.169,0.006926305,-1.469,-2.61,-1.883,-2.04,-1.222,-1.568,-1.945,-1.278,-2.525,-2.659,-1.128,-1.868,-3.679,-2.461,0.915828802,0.004628458,0.346655383,-0.070885647,,,,0,NA,NA,NA,NA,NA,0
716,NPSR1,ENSG00000187258,0.51,0.50877193,0.197,0.383605934,0.352,0.176755509,0.356,0.040515936,-0.003,0.985558732,0.405,0.277,-0.079,0.202,-0.265,-0.418,0.214,0.185,0.226,0.438,-0.077,-0.003,0.108,0.31,0.58705706,0.002387634,0.276907801,0.008992972,,,,0,NA,NA,NA,NA,NA,0
717,NPY,ENSG00000122585,0.42,NA,0.293,0.1682586,0.376,0.324378925,0.232,0.093883809,0.086,0.538639756,0.076,0.173,-0.189,0.321,0.264,-0.117,0.301,0.061,0.107,0.558,-0.186,0.289,0.089,-0.237,0.776456786,0.004888392,0.257208194,-0.052536729,,,,0,NA,NA,NA,NA,NA,0
718,NT5C3A,ENSG00000122643,0.48,0.519864751,-0.014,0.874721322,-0.034,0.889169055,0.103,0.921062554,0.237,0.277129535,0.013,-0.12,-0.451,0.217,-0.332,0.142,-0.021,-0.103,0.105,0.234,-0.098,-0.104,-0.144,-0.162,0.082195894,0.02002898,0.574534597,-0.012769535,,,,0,NA,NA,NA,NA,NA,0
719,NUDCD3,ENSG00000015676,0.12,0.099502488,-2.024,0.000372644,-1.694,0.001744593,-1.416,0.002661279,-1.709,0.001848926,-1.557,-2.645,-2.542,-1.476,-1.394,-1.799,-2.109,-1.764,-1.714,-2.468,-1.159,-2.66,-1.945,-4.643,0.859102215,0.00544307,0.000459528,-0.245685322,,,,0,NA,NA,NA,NA,NA,0
720,NUDT1,ENSG00000106268,0.53,0.512376238,0.219,0.454042854,0.16,0.72893271,0.18,0.598739468,0.37,0.515824863,-0.196,-0.015,0.226,-0.576,-0.323,-0.064,0.15,-0.112,-0.365,0.219,-0.834,-0.19,-0.457,0.107,0.760999535,0.008208527,0.929106135,0.002756884,,,,0,NA,NA,NA,NA,NA,0
721,NUPL2,ENSG00000136243,0.33,0.4046875,0.082,0.330253508,0.181,0.056110432,-0.245,0.964634425,-0.267,0.959375898,0.34,-0.663,-0.279,-0.044,0.084,-0.145,-0.451,-0.057,-0.109,-0.273,-0.264,-0.481,-0.508,-0.072,0.338532951,0.005867718,0.292374312,-0.037819568,,,,0,NA,NA,NA,NA,NA,0
