Gene,N_Silent,N_Missense,N_LOF,N_Splicing,N_TotalMut,CDS_length,Average_Polyphen2Score,HiFI_Missense,Benign,Mutations.per.Kb,LOF/Silent*,LOF/Benign*,pvalue_LOF/Benign,qvalue_LOF/Benign,Splicing/Benign*,pvalue_Splicing/Benign,qvalue_Splicing/Benign,MissDamaging/Benign*,pvalue_MissDamaging/Benign,qvalue_MissDamaging/Benign,pvalue_Deletion_GISTIC2,qvalue_Deletion_GISTIC2,TUSON_p_value_TSG,TUSON_q_value_TSG,TSG_Probability_LASSO,Chromosome
TMEM95,3,8,1,0,12,555,0.713,5,5,21.6216,0.324324324,0.1875,0.508503953,1,0,1,1,0.923076923,0.391078583,1,0.000575881,0.001573795,1,1,0.123109658,17
TMEM97,4,7,1,0,12,531,0.239,1,8,22.5989,0.255319149,0.127659574,0.688098497,1,0,1,1,0.210526316,0.994851459,1,0.999999997,1,1,1,0.19763152,17
TMEM98,4,13,0,0,17,681,0.544375,7,8,24.9633,0.042553191,0.021276596,1,1,0,1,1,0.842105263,0.420054497,1,0.331873252,0.710174286,1,1,0.046038539,17
TMEM99,5,12,2,0,19,777,0.3803333,4,10,24.4530,0.385964912,0.192982456,0.313229329,1,0,1,1,0.434782609,0.889878099,1,0.18338099,0.408171296,1,1,0.079761089,17
TMEM9B,2,5,0,0,7,597,0.8876667,5,2,11.7253,0.074074074,0.058823529,1,1,0,1,1,1.714285714,0.105814008,0.745415987,7.50E-26,4.27E-25,1,1,0.328802851,11
TMF1,9,36,5,0,50,3282,0.5686818,19,19,15.2346,0.536082474,0.254901961,0.287710581,1,0,1,1,0.975609756,0.093619926,0.735247775,1.82E-24,9.87E-24,1,1,0.152613635,3
TMIE,3,4,0,0,7,471,0.996,2,4,14.8620,0.054054054,0.037037037,1,1,0,1,1,0.545454545,0.781306607,1,4.35E-63,5.24E-62,1,1,0.277126734,3
TMIGD1,2,17,2,0,21,789,0.8197778,13,6,26.6160,0.814814815,0.297297297,0.286737896,1,0,1,1,1.866666667,0.0144707,0.31862972,0.79231862,1,1,1,0.108705397,17
TMIGD2,13,20,3,0,36,849,0.3498824,6,22,42.4028,0.233576642,0.136752137,0.591732835,1,0,1,1,0.29787234,0.991456831,1,1.00E-159,9.35E-158,1,1,0.324370534,19
TMLHE,10,17,0,0,27,1266,0.6026667,9,15,21.3270,0.018691589,0.012195122,1,1,0,1,1,0.606060606,0.757940448,1,1,1,1,1,0.009499354,X
TMOD1,5,14,0,1,20,1080,0.8827,12,7,18.5185,0.035087719,0.023809524,1,1,0.119047619,0.211683238,1,1.529411765,0.042553713,0.505087244,0.999871564,1,1,1,0.21629963,9
TMOD2,7,16,3,0,26,1056,0.7065714,13,10,24.6212,0.415584416,0.280701754,0.323275348,1,0,1,1,1.217391304,0.096722173,0.742087096,1.39E-06,4.37E-06,1,1,0.593112912,15
TMOD3,3,15,1,0,19,1059,0.6833846,11,6,17.9415,0.324324324,0.162162162,0.667426815,1,0,1,1,1.6,0.041658107,0.505087244,3.23E-07,1.04E-06,1,1,0.05948393,15
TMOD4,4,13,1,0,18,1038,0.494125,6,9,17.3410,0.255319149,0.115384615,0.808970351,1,0,1,1,0.666666667,0.626064664,1,0.999967616,1,1,1,0.008265233,1
TMPPE,13,16,1,0,30,1362,0.4058182,8,21,22.0264,0.087591241,0.053571429,0.917042675,1,0,1,1,0.4,0.922465623,1,3.07E-33,2.14E-32,1,1,0.07028544,3
TMPRSS11B,15,30,5,2,52,1251,0.2760588,11,29,41.5667,0.331210191,0.171052632,0.453394425,1,0.032894737,0.229957188,1,0.393442623,0.97318682,1,0.997188545,1,1,1,0.160813269,4
TMPRSS11D,11,23,4,0,38,1257,0.3540625,10,21,30.2307,0.358974359,0.1875,0.488152991,1,0,1,1,0.488888889,0.924661204,1,0.997568409,1,1,1,0.175594737,4
TMPRSS11E,2,9,0,0,11,1272,0.161,3,8,8.6478,0.074074074,0.021276596,1,1,0,1,1,0.421052632,0.893312979,1,0.997190959,1,1,1,0.026108622,4
TMPRSS11F,8,39,4,3,54,1317,0.5015667,23,20,41.0023,0.482758621,0.196261682,0.422261319,1,0.140186916,0.028738308,0.817879874,1.11627907,0.065788874,0.621617423,0.997186758,1,1,1,0.133648333,4
TMPRSS12,4,15,0,0,19,1047,0.4410909,7,12,18.1471,0.042553191,0.014925373,1,1,0,1,1,0.592592593,0.721286777,1,0.986813893,1,1,1,0.021097935,12
TMPRSS13,6,31,1,1,39,1704,0.4704375,13,19,22.8873,0.179104478,0.058823529,0.902939127,1,0,0.448237854,1,0.682926829,0.581940267,1,2.76E-82,5.32E-81,1,1,0.073370803,11
TMPRSS15,37,89,6,2,134,3060,0.5334821,50,63,43.7908,0.164456233,0.096273292,0.895252678,1,0.031055901,0.481596493,1,0.790697674,0.292986729,1,0.000444382,0.001225906,1,1,0.022962633,21
TMPRSS2,11,23,6,0,40,1479,0.4139167,10,22,27.0453,0.52991453,0.264957265,0.127249,1,0,1,1,0.468085106,0.924661204,1,1.67E-39,1.33E-38,1,1,0.088559779,21
TMPRSS3,10,18,2,3,33,1365,0.5255,8,15,24.1758,0.205607477,0.134146341,0.543998455,1,0.182926829,0.014753078,0.63176875,0.545454545,0.790597859,1,0.974193838,1,1,1,0.10145906,21
TMPRSS4,14,20,1,2,37,1314,0.5121333,10,20,28.1583,0.081632653,0.056074766,0.917556402,1,0.046728972,0.134911949,1,0.511627907,0.849847822,1,1.36E-78,2.35E-77,1,1,0.01702023,11
TMPRSS5,5,17,2,0,24,1374,0.1734615,5,14,17.4672,0.385964912,0.142857143,0.553944431,1,0,1,1,0.387096774,0.957358211,1,5.15E-90,1.23E-88,1,1,0.304314677,11
TMPRSS6,10,54,4,4,72,2436,0.5268649,30,25,29.5567,0.392523364,0.159090909,0.385240538,1,0.151515152,0.009740615,0.504069966,1.169811321,0.020708169,0.381030319,1,1,1,1,0.348068183,22
TMPRSS7,16,35,5,0,56,1719,0.5211111,18,32,32.5771,0.311377246,0.155688623,0.283620103,1,0,1,1,0.567164179,0.803398964,1,0.999699985,1,1,1,0.079996144,3
TMPRSS9,21,28,5,2,56,3180,0.5219167,16,31,17.6101,0.239631336,0.160493827,0.338380488,1,0.030864198,0.25178564,1,0.523076923,0.8675727,1,5.66E-206,1.03E-203,1,1,0.434181715,19
TMSB10,1,1,0,0,2,135,0.355,0,1,14.8148,0.117647059,0.083333333,1,1,0,1,1,0.4,1,1,0.999797833,1,1,1,0.274844647,2
TMSB15A,0,3,0,0,3,138,0.003666667,0,3,21.7391,0.285714286,0.045454545,1,1,0,1,1,0.222222222,1,1,1,1,1,1,0.105376411,X
TMSB15B,1,3,1,0,5,192,0,0,3,26.0417,0.705882353,0.272727273,0.496361745,1,0,1,1,0.222222222,1,1,1,1,1,1,0.419242933,X
TMSB4XP8,4,4,0,0,8,135,0.336,1,7,59.2593,0.042553191,0.023809524,1,1,0,1,1,0.235294118,0.985231128,1,9.97E-139,7.76E-137,1,1,0.33010758,4
TMTC1,19,75,6,2,102,2325,0.5937273,44,37,43.8710,0.314720812,0.161458333,0.433497678,1,0.052083333,0.328057286,1,1.168831169,0.013579666,0.307012789,1,1,1,1,0.05097878,12
TMTC2,19,60,3,1,83,2511,0.7371778,43,36,33.0546,0.162436548,0.085561497,0.863694296,1,0.026737968,0.66715578,1,1.173333333,0.010673444,0.271476724,0.304382039,0.655421946,1,1,0.085565244,12
TMTC4,11,46,2,1,60,2283,0.326,14,35,26.2812,0.188034188,0.06043956,0.944312252,1,0,0.676906207,1,0.410958904,0.984166855,1,0.999689657,1,1,1,0.02033295,13
TMUB1,5,1,0,0,6,741,0.125,0,5,8.0972,0.035087719,0.03125,1,1,0,1,1,0.153846154,1,1,7.60E-16,3.15E-15,1,1,0.048381678,7
TMUB2,5,8,1,0,14,906,0.3658571,3,7,15.4525,0.210526316,0.142857143,0.582810946,1,0,1,1,0.470588235,0.847652101,1,5.50E-07,1.75E-06,1,1,0.077808788,17
TMX2,2,18,1,1,22,891,0.6293077,10,7,24.6914,0.444444444,0.142857143,0.646895242,1,0.119047619,0.211683238,1,1.294117647,0.068122588,0.621617423,0.999977053,1,1,1,0.156913485,11
TMX3,7,16,1,3,27,1365,0.5787273,10,13,19.7802,0.155844156,0.083333333,0.868450091,1,0.138888889,0.010574752,0.535175694,0.75862069,0.481353672,1,1.41E-53,1.40E-52,1,1,0.243239374,18
TMX4,5,22,0,0,27,1050,0.4819286,9,16,25.7143,0.035087719,0.011494253,1,1,0,1,1,0.571428571,0.757940448,1,0.999994062,1,1,1,0.017515827,20
TNC,53,140,9,4,206,6606,0.6143667,80,101,31.1838,0.17132216,0.08984375,0.922803591,1,0.029296875,0.55423984,1,0.790243902,0.260312001,1,1,1,1,1,0.147454557,9
TNF,8,7,1,0,16,702,0.4835,3,11,22.7920,0.137931034,0.096774194,0.77787198,1,0,1,1,0.32,0.965899937,1,0.999959727,1,1,1,0.19431455,6
TNFAIP1,3,17,1,1,22,951,0.8546667,13,7,23.1335,0.324324324,0.142857143,0.309288945,1,0.119047619,0.211683238,1,1.647058824,0.02597266,0.420265181,0.999363642,1,1,1,0.214637666,17
TNFAIP2,7,22,2,0,31,1965,0.45075,11,10,15.7761,0.285714286,0.192982456,0.495139175,1,0,1,1,1.043478261,0.257179166,0.997374294,5.71E-06,1.76E-05,1,1,0.102072844,14
TNFAIP3,19,41,1,1,62,2373,0.4843448,21,32,26.1273,0.060913706,0.035928144,0.991038724,1,0.02994012,0.625121409,1,0.656716418,0.628983957,1,3.93E-18,1.72E-17,1,1,0.021762999,6
TNFAIP6,7,21,0,0,28,834,0.4981875,9,16,33.5731,0.025974026,0.011494253,1,1,0,1,1,0.571428571,0.757940448,1,0.617217033,1,1,1,0.037781061,2
TNFAIP8,2,6,0,0,8,597,0.5364,2,3,13.4003,0.074074074,0.045454545,1,1,0,1,1,0.666666667,0.679377095,1,5.10E-24,2.73E-23,1,1,0.092334176,5
TNFAIP8L1,1,2,0,0,3,561,0.2053333,1,2,5.3476,0.117647059,0.058823529,1,1,0,1,1,0.571428571,0.794171626,1,1.43E-61,1.68E-60,1,1,0.275134531,19
TNFAIP8L2,2,8,1,0,11,555,0.421,5,4,19.8198,0.444444444,0.222222222,0.455110614,1,0,1,1,1.090909091,0.286882038,1,0.998111561,1,1,1,0.128475314,1
TNFAIP8L3,6,23,2,0,31,879,0.4733846,14,12,35.2673,0.328358209,0.164179104,0.589155397,1,0,1,1,1.111111111,0.122517779,0.78028458,2.96E-09,1.02E-08,1,1,0.290521929,15
TNFRSF10A,10,26,1,0,37,1407,0.38375,8,22,26.2971,0.112149533,0.051282051,0.951546083,1,0,1,1,0.382978723,0.965291198,1,2.46E-89,5.80E-88,1,1,0.26624299,8
TNFRSF10B,3,12,1,2,18,1323,0.77025,9,5,13.6054,0.324324324,0.1875,0.570427349,1,0.3125,0.01633704,0.638569691,1.538461538,0.067606318,0.621617423,3.02E-91,7.46E-90,1,1,0.407465252,8
TNFRSF10C,7,16,0,0,23,780,0.26275,3,15,29.4872,0.025974026,0.012195122,1,1,0,1,1,0.242424242,0.993376408,1,1.47E-92,3.81E-91,1,1,0.018883111,8
TNFRSF10D,3,16,1,0,20,1161,0.3314444,4,9,17.2265,0.324324324,0.115384615,0.778582184,1,0,1,1,0.476190476,0.804253372,1,3.06E-89,7.18E-88,1,1,0.232140148,8
TNFRSF11A,13,31,2,0,46,1851,0.404125,13,25,24.8514,0.160583942,0.083333333,0.829373318,1,0,1,1,0.528301887,0.843974151,1,5.88E-37,4.49E-36,1,1,0.139745993,18
TNFRSF11B,14,23,5,0,42,1206,0.3388235,10,25,34.8259,0.353741497,0.196969697,0.377426168,1,0,1,1,0.41509434,0.954414316,1,0.960819856,1,1,1,0.020998788,8
TNFRSF12A,1,4,0,0,5,390,0.3346667,1,4,12.8205,0.117647059,0.037037037,1,1,0,1,1,0.363636364,0.928246668,1,7.71E-06,2.35E-05,1,1,0.075899258,16
TNFRSF13B,5,21,2,0,28,882,0.3540769,9,12,31.7460,0.385964912,0.164179104,0.522833772,1,0,1,1,0.740740741,0.51235336,1,0.232432737,0.509937878,1,1,0.165463503,17
TNFRSF13C,2,4,1,0,7,555,0.018,0,5,12.6126,0.444444444,0.1875,0.470866978,1,0,1,1,0.153846154,1,1,1.80E-05,5.39E-05,1,1,0.185600865,22
TNFRSF14,4,8,1,0,13,852,0.33725,4,6,15.2582,0.255319149,0.162162162,0.585203222,1,0,1,1,0.666666667,0.641425555,1,0.999954059,1,1,1,0.197869698,1
TNFRSF17,2,11,0,0,13,555,0.109,5,7,23.4234,0.074074074,0.023809524,1,1,0,1,1,0.705882353,0.588746708,1,0.999810375,1,1,1,0.034539393,16
TNFRSF19,8,26,0,1,35,1272,0.4785882,15,14,27.5157,0.022988506,0.012987013,1,1,0.064935065,0.378556683,1,1.032258065,0.204802973,0.91032252,4.16E-28,2.50E-27,1,1,0.022151315,13
TNFRSF1A,11,16,2,1,30,1368,0.3539231,6,16,21.9298,0.188034188,0.126436782,0.367179273,1,0.057471264,0.396761409,1,0.4,0.893977712,1,0.859583471,1,1,1,0.033040185,12
TNFRSF1B,9,15,0,0,24,1386,0.4826667,6,15,17.3160,0.020618557,0.012195122,1,1,0,1,1,0.424242424,0.939334928,1,7.28E-100,2.16E-98,1,1,0.031957047,1
TNFRSF21,15,33,0,0,48,1968,0.6,22,23,24.3902,0.012738854,0.008196721,1,1,0,1,1,0.93877551,0.136540019,0.822515305,0.992289838,1,1,1,0.013648509,6
TNFRSF25,4,17,2,0,23,1281,0.4418889,7,10,17.9547,0.468085106,0.192982456,0.351135226,1,0,1,1,0.695652174,0.584138683,1,1.39E-153,1.22E-151,1,1,0.435043382,1
TNFRSF4,4,9,2,0,15,834,0.5006667,6,7,17.9856,0.468085106,0.261904762,0.24910503,1,0,1,1,0.823529412,0.453939473,1,0.999959727,1,1,1,0.326003697,1
TNFRSF6B,8,7,2,0,17,903,0.026,1,13,18.8261,0.252873563,0.152777778,0.479296496,1,0,1,1,0.137931034,0.999374312,1,0.999959727,1,1,1,0.138949011,20
TNFRSF8,16,31,5,0,52,1788,0.3175,9,33,29.0828,0.311377246,0.151162791,0.500444093,1,0,1,1,0.289855072,0.998390028,1,2.46E-97,7.02E-96,1,1,0.013767604,1
TNFRSF9,6,24,3,3,36,768,0.332,7,16,46.8750,0.47761194,0.183908046,0.465027739,1,0.172413793,0.017143314,0.644048715,0.457142857,0.893977712,1,1.25E-164,1.24E-162,1,1,0.215154843,1
TNFSF10,10,24,0,0,34,846,0.5121333,13,20,40.1891,0.018691589,0.009345794,1,1,0,1,1,0.651162791,0.636559335,1,0.99835218,1,1,1,0.005069247,3
TNFSF11,7,11,3,0,21,954,0.5981667,8,9,22.0126,0.415584416,0.307692308,0.200976439,1,0,1,1,0.857142857,0.469844406,1,7.95E-78,1.34E-76,1,1,0.544415932,13
TNFSF12,2,7,1,0,10,750,0.5356667,3,4,13.3333,0.444444444,0.222222222,0.549904886,1,0,1,1,0.727272727,0.785784137,1,7.45E-12,2.82E-11,1,1,0.146213818,17
TNFSF12-TNFSF13,3,6,1,0,10,993,0.5195,2,6,10.0705,0.324324324,0.162162162,0.729656569,1,0,1,1,0.4,0.973764581,1,1.03E-12,4.01E-12,1,1,0.112358407,17
TNFSF13B,4,13,3,0,20,858,0.165375,1,10,23.3100,0.680851064,0.280701754,0.250612639,1,0,1,1,0.173913043,0.996960147,1,0.118137374,0.269338217,1,1,0.266733472,13
TNFSF14,9,26,3,0,38,723,0.37025,11,17,52.5588,0.329896907,0.173913043,0.355000674,1,0,1,1,0.648648649,0.640858094,1,4.70E-74,6.83E-73,1,1,0.035824085,19
TNFSF15,8,17,1,0,26,756,0.4735,8,17,34.3915,0.137931034,0.065217391,0.916621675,1,0,1,1,0.486486486,0.86823265,1,0.999954059,1,1,1,0.206646594,9
TNFSF18,3,12,2,0,17,534,0.3721667,4,8,31.8352,0.594594595,0.234042553,0.374068043,1,0,1,1,0.526315789,0.794461289,1,0.998325562,1,1,1,0.171259315,1
TNFSF4,8,12,4,0,24,552,0.37,5,15,43.4783,0.482758621,0.256097561,0.241343803,1,0,1,1,0.363636364,0.957358211,1,0.998463215,1,1,1,0.155726808,1
TNFSF8,7,17,0,0,24,705,0.31275,6,16,34.0426,0.025974026,0.011494253,1,1,0,1,1,0.4,0.939334928,1,0.997155705,1,1,1,0.045101085,9
TNFSF9,7,6,0,0,13,765,0.4306667,4,9,16.9935,0.025974026,0.019230769,1,1,0,1,1,0.476190476,0.848443538,1,2.80E-74,4.13E-73,1,1,0.045057076,19
TNIP1,10,26,1,2,39,1911,0.47895,10,17,20.4082,0.112149533,0.065217391,0.958885074,1,0.054347826,0.11521279,1,0.594594595,0.773398908,1,0.001638441,0.004341055,1,1,0.030325124,5
TNIP2,6,15,4,0,25,1290,0.131,6,11,19.3798,0.626865672,0.338709677,0.159679052,1,0,1,1,0.56,0.761721812,1,0.559581477,1,1,1,0.286305291,4
TNIP3,10,22,5,1,38,978,0.3261176,7,19,38.8548,0.485981308,0.254901961,0.370937541,1,0,0.448237854,1,0.390243902,0.954268828,1,0.017899833,0.044526698,1,1,0.346711754,4
TNK1,10,14,1,0,25,2001,0.6781429,9,15,12.4938,0.112149533,0.073170732,0.846448107,1,0,1,1,0.606060606,0.705915285,1,0.003820972,0.009914145,1,1,0.086839455,17
TNKS,17,48,4,1,70,3984,0.6996364,34,30,17.5703,0.237288136,0.133757962,0.433514815,1,0.031847134,0.613808204,1,1.111111111,0.042327435,0.505087244,2.45E-60,2.78E-59,1,1,0.223694911,8
TNKS2,13,43,5,1,62,3501,0.6134,27,26,17.7092,0.379562044,0.189781022,0.375784212,1,0,0.565036652,1,1.018181818,0.113127772,0.749774077,4.22E-25,2.35E-24,1,1,0.387939983,10
TNMD,8,18,0,0,26,954,0.5376154,11,14,27.2537,0.022988506,0.012987013,1,1,0,1,1,0.774193548,0.453031169,1,1,1,1,1,0.030503162,X
TNN,74,182,12,3,271,3900,0.6448537,119,131,69.4872,0.163319946,0.092145015,0.907214519,1,0.02265861,0.816349159,1,0.905660377,0.081510906,0.687607205,0.999978404,1,1,1,0.010827714,1
TNNC1,4,10,1,0,15,486,0.7538571,7,5,30.8642,0.255319149,0.1875,0.616770181,1,0,1,1,1.230769231,0.17564783,0.886481429,1.20E-74,1.79E-73,1,1,0.410478237,3
TNNC2,1,9,1,0,11,483,0.41975,4,6,22.7743,0.705882353,0.162162162,0.670981507,1,0,1,1,0.666666667,0.641425555,1,0.984812331,1,1,1,0.144252366,20
TNNI1,5,11,0,0,16,564,0.566625,7,7,28.3688,0.035087719,0.023809524,1,1,0,1,1,0.941176471,0.334311308,1,0.994251833,1,1,1,0.017481832,1
TNNI2,4,14,2,1,21,549,0.6360833,9,8,38.2514,0.468085106,0.234042553,0.510022156,1,0.106382979,0.234776399,1,1.052631579,0.222708924,0.943222638,3.94E-58,4.27E-57,1,1,0.451261535,11
TNNI3,4,9,1,1,15,633,0.3754,4,8,23.6967,0.255319149,0.127659574,0.74097007,1,0.106382979,0.234776399,1,0.526315789,0.794461289,1,3.97E-18,1.74E-17,1,1,0.179748299,19
TNNI3K,15,76,6,0,97,2508,0.5031864,38,37,38.6762,0.394904459,0.161458333,0.46276337,1,0,1,1,1.012987013,0.069415284,0.623496196,2.26E-30,1.45E-29,1,1,0.065922776,1
TNNT1,5,23,0,0,28,837,0.60575,15,10,33.4528,0.035087719,0.01754386,1,1,0,1,1,1.391304348,0.042701544,0.505087244,1.37E-18,6.12E-18,1,1,0.022304922,19
TNNT2,8,18,2,0,28,858,0.8561429,12,13,32.6340,0.252873563,0.152777778,0.772318781,1,0,1,1,0.896551724,0.30130903,1,0.994245256,1,1,1,0.183395532,1
TNNT3,6,20,1,1,28,777,0.522625,13,12,36.0360,0.179104478,0.089552239,0.909330741,1,0.074626866,0.320579359,1,1.037037037,0.12823093,0.793026157,3.80E-54,3.80E-53,1,1,0.149180327,11
TNP1,1,5,0,0,6,168,0.629,4,2,35.7143,0.117647059,0.058823529,1,1,0,1,1,1.428571429,0.192691858,0.886481429,5.45E-48,4.89E-47,1,1,0.156166837,2
TNP2,2,7,2,1,12,417,0.4714,3,5,28.7770,0.814814815,0.34375,0.219369878,1,0.15625,0.163385147,1,0.615384615,0.541286766,1,1,1,1,1,0.273775288,16
TNPO2,11,38,6,1,56,2664,0.3969643,15,24,21.0210,0.52991453,0.244094488,0.171645695,1,0.039370079,0.538387593,1,0.62745098,0.725166451,1,0.894198984,1,1,1,0.46846243,19
TNPO3,13,36,4,1,54,2772,0.37675,16,29,19.4805,0.306569343,0.138157895,0.591071515,1,0.032894737,0.59014725,1,0.557377049,0.812210171,1,6.90E-05,0.0002002,1,1,0.04689233,7
TNR,73,190,24,5,292,4077,0.6177165,116,124,71.6213,0.328358209,0.192982456,0.231949571,1,0.039872408,0.481596493,1,0.932270916,0.103423354,0.745415987,0.999821215,1,1,1,0.090005534,1
TNRC6C,18,57,8,0,83,5073,0.5318378,32,37,16.3611,0.438502674,0.213541667,0.212382037,1,0,1,1,0.857142857,0.213152451,0.932145335,0.999999179,1,1,1,0.069978598,17
TNS1,28,109,8,2,147,5208,0.4562895,46,73,28.2258,0.285714286,0.110215054,0.721267036,1,0.02688172,0.649057103,1,0.630872483,0.646328373,1,9.60E-46,8.26E-45,1,1,0.092219319,2
TNS3,29,73,8,2,112,4338,0.4343774,31,61,25.8183,0.276094276,0.131410256,0.582581839,1,0.016025641,0.571235608,1,0.512,0.954741103,1,0.999998935,1,1,1,0.061761608,7
TNS4,13,36,7,1,57,2148,0.43804,15,30,26.5363,0.525547445,0.229299363,0.132284702,1,0.031847134,0.602153585,1,0.507936508,0.841719196,1,0.343968817,0.73445285,1,1,0.054969174,17
TNXB,86,168,15,4,273,2022,0.5671053,86,141,135.0148,0.175317186,0.106741573,0.614406196,1,0.028089888,0.793156184,1,0.610526316,0.738903188,1,0.999959727,1,1,1,0.045236667,6
TOB2,4,12,3,0,19,1035,0.3415714,5,9,18.3575,0.680851064,0.307692308,0.171553429,1,0,1,1,0.571428571,0.804253372,1,0.665377412,1,1,1,0.319320865,22
TOE1,7,13,3,1,24,1533,0.3796364,6,12,15.6556,0.415584416,0.23880597,0.276364761,1,0,0.320579359,1,0.518518519,0.814147015,1,0.999535371,1,1,1,0.136220513,1
TOLLIP,5,7,0,0,12,825,0.5995,4,8,14.5455,0.035087719,0.021276596,1,1,0,1,1,0.526315789,0.794461289,1,4.10E-56,4.26E-55,1,1,0.141370746,11
TOM1,10,25,4,0,39,1479,0.7185333,17,15,26.3692,0.392523364,0.256097561,0.232982666,1,0,1,1,1.090909091,0.111908664,0.745415987,1,1,1,1,0.641932376,22
TOM1L1,7,16,3,1,27,1431,0.3811111,6,14,18.8679,0.415584416,0.207792208,0.421698503,1,0.064935065,0.359802569,1,0.451612903,0.891348067,1,0.999915711,1,1,1,0.468388002,17
TOM1L2,9,15,2,0,26,1374,0.4493,6,17,18.9229,0.226804124,0.119565217,0.780637566,1,0,1,1,0.378378378,0.96742073,1,0.11936544,0.271872584,1,1,0.056273611,17
TOMM20,4,3,0,0,7,438,0.025,1,5,15.9817,0.042553191,0.03125,1,1,0,1,1,0.307692308,0.974986244,1,0.451858283,0.945687491,1,1,0.022341691,1
TOMM20L,1,5,2,0,8,459,0.8833333,3,3,17.4292,1.294117647,0.5,0.131617679,1,0,1,1,0.888888889,0.475518072,1,0.966924176,1,1,1,0.575027918,14
TOMM22,0,5,0,0,5,429,0.5253333,3,2,11.6550,0.285714286,0.058823529,1,1,0,1,1,1.142857143,0.334104965,1,1,1,1,1,0.250771105,22
TOMM34,3,9,1,1,14,930,0.418,3,8,15.0538,0.324324324,0.127659574,0.726258202,1,0.106382979,0.234776399,1,0.421052632,0.893312979,1,0.999999998,1,1,1,0.097966738,20
TOMM40,8,6,0,0,14,1086,0.5142,3,11,12.8913,0.022988506,0.016129032,1,1,0,1,1,0.32,0.965899937,1,4.69E-06,1.44E-05,1,1,0.059273011,19
TOMM40L,3,10,1,0,14,927,0.7077143,7,5,15.1025,0.324324324,0.1875,0.536333343,1,0,1,1,1.230769231,0.17564783,0.886481429,0.949450956,1,1,1,0.135181398,1
TOMM5,1,2,0,0,3,156,0.981,2,1,19.2308,0.117647059,0.083333333,1,1,0,1,1,1.2,0.365834001,1,0.060812223,0.143459398,1,1,0.250334547,9
TOMM6,1,1,0,0,2,222,0.998,1,1,9.0090,0.117647059,0.083333333,1,1,0,1,1,0.8,0.651392418,1,0.999999985,1,1,1,0.097556472,6
TOMM70A,5,30,3,0,38,1827,0.6989091,17,15,20.7991,0.561403509,0.195121951,0.462210339,1,0,1,1,1.090909091,0.145575753,0.848879762,0.999992552,1,1,1,0.262597228,3
TONSL,18,38,2,0,58,3660,0.4985333,17,30,15.8470,0.117647059,0.070063694,0.903112979,1,0,1,1,0.571428571,0.734907775,1,1,1,1,1,0.012856181,8
TOP1MT,18,22,2,0,42,1806,0.5112857,11,24,23.2558,0.117647059,0.086614173,0.933724003,1,0,1,1,0.470588235,0.942560047,1,4.44E-05,0.000130534,1,1,0.011180118,8
TOP2A,14,43,4,4,65,4596,0.5133333,22,28,14.1427,0.285714286,0.142857143,0.65341633,1,0.136054422,0.013762351,0.618161717,0.779661017,0.320884538,1,0.585548794,1,1,1,0.111186075,17
TOP3A,13,43,7,1,64,3006,0.6077143,21,30,21.2908,0.525547445,0.229299363,0.180046836,1,0,0.602153585,1,0.698412698,0.540524479,1,0.923764379,1,1,1,0.43455704,17
TOP3B,9,36,1,2,48,2589,0.6496071,22,19,18.5400,0.12371134,0.058823529,0.924961498,1,0.098039216,0.124968514,1,1.12195122,0.068474108,0.621617423,0.999999825,1,1,1,0.013911095,22
TOPAZ1,6,10,0,0,16,2088,0.3221667,3,11,7.6628,0.029850746,0.016129032,1,1,0,1,1,0.32,0.965899937,1,2.21E-52,2.14E-51,1,1,0.072266608,3
TOPBP1,11,55,6,2,74,4308,0.38,21,36,17.1773,0.52991453,0.165775401,0.509824255,1,0.053475936,0.30638998,1,0.586666667,0.77713203,1,0.998531342,1,1,1,0.06915891,3
TOPORS,15,54,4,0,73,3138,0.3056341,16,43,23.2632,0.267515924,0.094594595,0.897877233,1,0,1,1,0.382022472,0.990512476,1,0.147682436,0.3323967,1,1,0.08644606,9
TOR1A,6,24,1,0,31,999,0.6748182,16,13,31.0310,0.179104478,0.083333333,0.849285582,1,0,1,1,1.172413793,0.117080842,0.763833767,0.948263165,1,1,1,0.010069815,9
TOR1AIP2,6,23,2,0,31,1413,0.6096875,14,13,21.9391,0.328358209,0.152777778,0.592799214,1,0,1,1,1.034482759,0.169425668,0.876560863,0.997335738,1,1,1,0.025480012,1
TOR1B,4,10,0,0,14,1011,0.3585714,2,9,13.8477,0.042553191,0.019230769,1,1,0,1,1,0.285714286,0.973764581,1,0.949910692,1,1,1,0.038208808,9
TOR2A,6,9,2,0,17,762,0.849,7,6,22.3097,0.328358209,0.297297297,0.150753439,1,0,1,1,1.066666667,0.251327537,0.990178279,0.999999228,1,1,1,0.388210779,9
TOR3A,8,15,0,0,23,1194,0.3864545,7,13,19.2630,0.022988506,0.013888889,1,1,0,1,1,0.551724138,0.77687313,1,0.999979164,1,1,1,0.009364247,1
TOR4A,1,2,0,0,3,1272,0.05,0,3,2.3585,0.117647059,0.045454545,1,1,0,1,1,0.222222222,1,1,0.991783908,1,1,1,0.035106053,9
TOX,13,43,2,1,59,1581,0.58328,27,25,37.3182,0.160583942,0.083333333,0.903567835,1,0.037878788,0.55191019,1,1.056603774,0.091112228,0.730470077,0.999857967,1,1,1,0.009663095,8
